year,ipca,ipca_index,ipca_rate,inpc,inpc_index,inpc_rate,igp_di,igp_di_index,igp_di_rate
2008,2892.86,1,1,2975.11,1,1,404.185,1,1
2009,3017.59,1.0431165006256784,1.0431165006256784,3097.5,1.041137974730346,1.041137974730346,398.407,0.9857045659784505,0.9857045659784505
2010,3195.89,1.1047510076533258,1.0590868872179455,3297.76,1.1084497716050836,1.0646521388216306,443.427,1.0970892042010465,1.1130000225899646
2011,3403.73,1.1765968626203827,1.0650335274368017,3498.27,1.175845598986256,1.0608018776381543,465.586,1.1519131090960824,1.0499721487415066
2012,3602.46,1.2452935848952247,1.0583859471814743,3715.07,1.2487168541667366,1.0619734897535067,503.283,1.2451798062768287,1.0809667816472144
2013,3815.39,1.318898944297339,1.0591068325533108,3921.73,1.3181798320062115,1.055627484811861,531.056,1.3138933904029098,1.0551836640617707
2014,4059.86,1.4034070089807318,1.0640747079590815,4165.99,1.4002809980135187,1.0622837370242213,551.149,1.363605774583421,1.037835934440059
2015,4493.17,1.5531930338834232,1.1067302813397506,4635.75,1.5581776808252468,1.112760712339684,610.128,1.5095265781758354,1.107010989768647
2016,4775.7,1.6508576287825887,1.062879882132214,4940.78,1.6607049823367874,1.065799493070161,653.951,1.617949701250665,1.0718259119397897
