id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
ap2011,663760405,2897410914.61,26309453.529999997,111070616.66,734437257.82,1268029709,3580437970.390001,2490528051.8900003,316036973.65999997,2956670132.3100004,79489851,38054626.91,622470163.7599999,198688941,514634309
ap2012,1143083078,3344163675.76,24893490.58,38992343.6,-257026048.77,1577035401,4112686110.0500007,3050468146.14,273982895.83000004,3801176603.5699997,92564035,31976892.09,843193008.47,516719607,1064570919.4
ap2013,2225037265,3535062381.83,47957401.54,306136596.83,-116755038.88,1642624330,4341716963.14,3398244843.49,502974350.48,4481367347.76,40696026,49211405.78,906016400.54,237049474,1416000382.06
ap2014,2483028270.11,4020130039.48,82115698.58,68575661.25,-410822127.05,1858838214.71,4899082882.02,3672589979.01,407540646.99,4498370609.15,60534782.09,51629027.72,1019852706.2,201498719.89,1027896422.53
ap2015,2671177076.68,3875537366.92,137145262.1,85551948.11,-44630075.65,1758084359.1799998,4758054140.83,3569552074.03,439542234.29,4106034601.23,99240422.27,60612856.8,891911844.68,1740317333.42,1741427230.9
ap2016,2809429087.46,4872773878.98,121032373.15,104704322.55,-444222131.89,1964690402.46,5496374349.87,3836120411.1,139100666.12,4091210019.22,111718268.07,96268961.23,954291092,389202284.40999997,2843235919.92
ba2008,11498748122.71,14237786082.39,565027310.39,1457754671.44,1437345616.83,7814206896.15,20172955352.030003,17002089970.130001,1201702732.8500001,19875029144.25,554267721.83,2115209644.35,10886567714.359999,708831154.11,1639270530.14
ba2009,10424316130.58,14671427308.15,525354318.27,1265723919.92,737978203.44,8809431619.36,20915399691.11,18534874426.13,1329025133.52,21374933566.47,634292466.97,2450194672.27,10840388417.88,478885376.84,1101501657.08
ba2010,10425936246.91,17372550742.29,510138491.46999997,871906353.99,744512931.71,9607936700.85,24652004774.239998,21502299427.010002,2046146130.78,24667993043.260002,711420045.35,2790765465.93,12876988650.86,710979960.24,1749702629.96
ba2011,10414665145.31,19226970363.7,503486354.13000005,911908263.66,1176723648.04,10805276934.43,27440408829.429996,24070823872.97,1752502440.9099998,27139530002.370003,804819386.82,3287660213.35,14183218585.059998,915304385.6,1991477181.96
ba2012,13474097572.47,21624180849.01,515961268.4,1032095211.12,1278945427.31,12255941909.34,30557271794.43999,27075280938.53,1836280061.9699998,30380176908.559998,918739773.27,3901689435.94,15864323802.349998,1161563615.38,4023953937.81
ba2013,15033682987.15,23080634286.15,497803875.93,1681534278.61,300874947.81,13704227244.78,33127356192.82,29869150140.31,2037262606.14,34237808085.76,1133313104.07,4369564803.93,18476905636.4,1885183650.42,5310135522.22
ba2014,16911138138.28,25870525219.4,543165998.28,797187318.37,1600043471.94,15302634859.13,37004050909.68,32676847132.88,2540215784.98,36314445128.36,1181968001.62,4972291217.67,20301077820.08,1917036594.18,6184259815.4
ba2015,21381306825.23,27207610584.58,633856978.55,954914644.8,-570487456.12,16691411749.07,39313393687.7,35907394569.26,2292137950.41,39435478235,1321763223.71,4782365604.29,22435236825.37,1676461257.57,6217355559.37
ba2016,20172661726.35,28714179024.82,556601894.44,788437381.58,-1117838694.45,17598198987.620003,41698737094.94,38481711012.41,3241530762.07,42762117273.84,1409697645.92,5230338044.3,23441353773.31,794293545.24,4658628763.79
