id,state,year,calamity,default,yh1,yh2,yh3,stn_end,stn_sdrcl,stn_rpsd,stn_dprcl,stn_cgpp,stn_pidt,stn_pcrdp,stn_rtdc,capag_idc,capag_pc,capag_il,stn_end_z,stn_sdrcl_z,stn_rpsd_z,stn_dprcl_z,stn_cgpp_z,stn_pidt_z,stn_pcrdp_z,stn_rtdc_z,capag_idc_z,capag_pc_z,capag_il_z,stn_end_zz,stn_sdrcl_zz,stn_rpsd_zz,stn_dprcl_zz,stn_cgpp_zz,stn_pidt_zz,stn_pcrdp_zz,stn_rtdc_zz,capag_idc_zz,capag_pc_zz,capag_il_zz,stn_end_lag,stn_sdrcl_lag,stn_rpsd_lag,stn_dprcl_lag,stn_cgpp_lag,stn_pidt_lag,stn_pcrdp_lag,stn_rtdc_lag,capag_idc_lag,capag_pc_lag,capag_il_lag,stn_end_z_lag,stn_sdrcl_z_lag,stn_rpsd_z_lag,stn_dprcl_z_lag,stn_cgpp_z_lag,stn_pidt_z_lag,stn_pcrdp_z_lag,stn_rtdc_z_lag,capag_idc_z_lag,capag_pc_z_lag,capag_il_z_lag,stn_end_zz_lag,stn_sdrcl_zz_lag,stn_rpsd_zz_lag,stn_dprcl_zz_lag,stn_cgpp_zz_lag,stn_pidt_zz_lag,stn_pcrdp_zz_lag,stn_rtdc_zz_lag,capag_idc_zz_lag,capag_pc_zz_lag,capag_il_zz_lag,sgdp,sgdp_real,sgdp_index,sgdp_rate,sgdp_real_index,sgdp_real_rate,region,state_calamity,ipca,ipca_index,ipca_rate,inpc,inpc_index,inpc_rate,igp_di,igp_di_index,igp_di_rate
ac2008,ac,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.454983879208065,0.0615177155527693,1.57667290085901,0.518394373964167,0.342517374862713,0.209849943621682,1.26131856809917,0.258528809110423,0.454983879208065,0.744869316944417,0.0228277139471198,-0.72196420803764,-0.466588081170526,0.541089776921043,-0.291776171107477,0.721441832827564,2.68650138762405,0.233322082334531,-1.8075198989872,-0.72196420803764,-0.831707467896852,-1.08891640002708,-0.36098210401882,-0.233294040585263,0.270544888460522,-0.145888085553738,0.360720916413782,1.34325069381202,0.116661041167266,-0.903759949493598,-0.36098210401882,-0.415853733948426,-0.544458200013538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6410254676.92733,1.41430299343759,1,1,1,1,norte,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
al2008,al,2008,FALSE,FALSE,FALSE,FALSE,FALSE,1.97125874754372,0.141201194902524,0.938984361325932,0.551371088237394,0.311804371594358,0.0854587470105,0.56310105987268,0.465213531670308,1.97125874754372,0.762308787540178,1.06888687317018,1.89790437237571,1.41473193919906,0.236510595499127,0.070198069856731,0.536765759820061,-0.090550663878359,-0.252337448933427,-0.679010530519133,1.89790437237571,-0.664137899495081,1.33296555346036,0.948952186187854,0.707365969599532,0.118255297749563,0.0350990349283655,0.26838287991003,-0.0452753319391795,-0.126168724466714,-0.339505265259567,0.948952186187854,-0.33206894974754,0.666482776730181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22262294598.0157,1.254702086152,1,1,1,1,nordeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
am2008,am,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.347940736352975,0.0394879566383203,0.627138220233934,0.388431434577167,0.346742180147921,0.162629772829279,1.91987812525748,0.761197153085362,0.347940736352975,0.742532620378879,0.180317473539168,-0.906916799794682,-0.986708774040291,0.0875635210340105,-1.71833540767397,0.746845419786364,1.63230401880841,0.691396711047212,0.937075484658954,-0.906916799794682,-0.854159940454602,-0.724289214984929,-0.453458399897341,-0.493354387020146,0.0437817605170052,-0.859167703836987,0.373422709893182,0.816152009404204,0.345698355523606,0.468537742329477,-0.453458399897341,-0.427079970227301,-0.362144607492465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48115264643.6643,1.38799262705436,1,1,1,1,norte,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
ap2008,ap,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.102798284290684,0.0136240206156965,15.4258547201003,0.402722398120248,0.424286580344977,0.106452104535741,3.39189626479958,0.225424685427741,0.102798284290684,0.702105892030374,0.343211484258776,-1.33048182833627,-1.59735405511975,7.15587458230017,-1.56146833358366,1.21311682890219,0.378129179805632,1.71528916754523,-1.98827014142473,-1.33048182833627,-1.24260575846592,-0.347149871177621,-0.665240914168134,-0.798677027559874,3.57793729115008,-0.780734166791828,0.606558414451096,0.189064589902816,0.857644583772615,-0.994135070712363,-0.665240914168134,-0.621302879232959,-0.173574935588811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950413076.48314,1.40492010701157,1,1,1,1,norte,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
ba2008,ba,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.807621919318778,0.142071384562511,0.710578613879901,0.548835812740227,0.186498565027636,0.0604629419221588,0.262039142697047,0.58974319262928,0.807621919318778,0.842816021422418,0.43240645218545,-0.112664838353642,1.43527704142366,0.127417156811783,0.0423692080690237,-0.216693095362099,-0.648585747474398,-0.461747250113494,0.0009279153601135,-0.112664838353642,0.109427006663625,-0.140641777195682,-0.056332419176821,0.717638520711828,0.0637085784058916,0.0211846040345119,-0.108346547681049,-0.324292873737199,-0.230873625056747,0.00046395768005675,-0.056332419176821,0.0547135033318123,-0.0703208885978411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121667454630.878,1.32428937791604,1,1,1,1,nordeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
ce2008,ce,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.483049132306983,0.0820574563542275,2.13279023269816,0.469584447623129,0.211547604565791,0.0996013251122648,0.760932072519955,0.551512157509486,0.483049132306983,0.825390596482911,0.197422821651503,-0.67347215931305,0.0183534135824175,0.806708101864021,-0.827546226681519,-0.0660742120800908,0.225184505498637,-0.114732024061476,-0.207815531008635,-0.67347215931305,-0.0580076021048552,-0.684686164300728,-0.336736079656525,0.00917670679120876,0.403354050932011,-0.41377311334076,-0.0330371060400454,0.112592252749319,-0.0573660120307381,-0.103907765504317,-0.336736079656525,-0.0290038010524276,-0.342343082150364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60415573673.7263,1.31327878483614,1,1,1,1,nordeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
df2008,df,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.335546739592627,0.0222402194511073,4.68856038502904,0.520791047444069,0.264083591764179,0.10417280806888,1.03698689299484,0.796696613617569,0.335546739592627,0.791086923772487,0.068613437244416,-0.928331546801484,-1.39392634964276,2.02742061689445,-0.265468696792757,0.249822599527635,0.327243545599039,0.0772835772897899,1.13090439126597,-0.928331546801484,-0.387619192039163,-0.982911289318566,-0.464165773400742,-0.696963174821381,1.01371030844723,-0.132734348396378,0.124911299763818,0.163621772799519,0.0386417886448949,0.565452195632988,-0.464165773400742,-0.193809596019582,-0.491455644659283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110299557146.029,1.31267846741476,1,1,1,1,centro-oeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
es2008,es,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.492161189035921,0.0474445920318212,5.53613795121146,0.428253953984749,0.411633074977476,0.077303500511616,0.958240385286207,0.9828926582411,0.492161189035921,0.708399383470068,0.21757565414728,-0.657728054055081,-0.798853304089348,2.43224909552518,-1.28121707877046,1.13703180196322,-0.272617760563862,0.0225098261704523,2.14754450925278,-0.657728054055081,-1.18213387438555,-0.638027444377633,-0.32886402702754,-0.399426652044674,1.21612454776259,-0.64060853938523,0.568515900981612,-0.136308880281931,0.0112549130852262,1.07377225462639,-0.32886402702754,-0.591066937192777,-0.319013722188816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72091158096.8514,1.40332246743195,1,1,1,1,sudeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
go2008,go,2008,FALSE,FALSE,FALSE,FALSE,FALSE,1.48664470793679,0.112269804542328,1.46877557846178,0.468238728155698,0.236971205187856,0.068516632631522,0.224956763275464,0.747327994098792,1.48664470793679,0.80842625584654,0.39480527157434,1.06057261775328,0.731664327870761,0.489554778099476,-0.84231773419855,0.0867968921740425,-0.468785898964922,-0.487540660900244,0.861349153001408,1.06057261775328,-0.221011818491352,-0.227697676423703,0.530286308876642,0.365832163935381,0.244777389049738,-0.421158867099275,0.0433984460870212,-0.234392949482461,-0.243770330450122,0.430674576500704,0.530286308876642,-0.110505909245676,-0.113848838211851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82417563798.2757,1.33959212209668,1,1,1,1,centro-oeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
ma2008,ma,2008,FALSE,FALSE,FALSE,FALSE,FALSE,0.969525689831011,0.122191431203929,0.96754717383401,0.400132605731567,0.387983966392518,0.124006150543212,0.608721554520523,0.456455577326595,0.969525689831011,0.720469417668477,0.172155276839882,0.167077713787343,0.965913070840089,0.250153051829278,-1.58989560885372,0.99483064809241,0.770025879936208,-0.2206051767033,-0.726829418161553,0.167077713787343,-1.06615727921795,-0.743186690058422,0.0835388568936713,0.482956535420045,0.125076525914639,-0.794947804426861,0.497415324046205,0.385012939968104,-0.11030258835165,-0.363414709080777,0.0835388568936713,-0.533078639608973,-0.371593345029211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37932402169.3304,1.38703014262361,1,1,1,1,nordeste,FALSE,2892.86,1,1,2975.11,1,1,404.185,1,1
